bright;44;
gentlemen;44;8
service,;44;
own.;44;
rare;44;
soldiers,;44;
harm;44;
bed.;44;
thinks;44;
service.;44;
ear,;44;
wind,;44;
tongue.;44;
safe;44;
receiv'd;44;
ha,;44;38
did.;44;
farewell;44;
mind.;44;
country's;44;
opinion;44;
wound;43;
mend;43;
honour'd;43;
bought;43;
years,;43;
learned;43;
therein;43;
else,;43;
motion;43;
master.;43;
world's;43;205
puts;43;
bend;43;
soldier,;43;
swore;43;
remain;43;
lie,;43;
turns;43;
quit;43;
wounds;43;
intend;43;
cheer;43;
dry;43;
according;43;
hell,;43;
doubt,;43;
romeo;43;
remembrance;42;
body,;42;
nine;42;
paid;42;
bestow;42;
off.;42;
cry,;42;
long,;42;
follows;42;
terms;42;
hie;42;
to.;42;
day!;42;
ah,;42;
undertake;42;
nought;42;
thing,;42;
fears;42;
how,;42;
rome.;42;
tells;42;
hence.;42;
civil;42;
appears;42;
sits;42;
hands.;42;
dread;42;
raise;42;
thus?;42;
'i;42;
ladies;42;
soft!;42;
red;42;
hollow;42;
bastard;42;
lovely;42;
arm,;42;
shed;41;
perfect;41;
native;41;1
pardon,;41;
fiery;41;
answer.;41;
effect;41;
instant;41;
outward;41;
add;41;
demand;41;
again:;41;
fortune's;41;
withal.;41;
shadow;41;
deadly;41;
wide;41;
loud;41;
for.;41;
mov'd;41;
cause.;41;
painted;41;
besides;41;
sum;41;
gods!;41;
others;41;
safety;41;
sign;41;
king:;41;
before.;40;
heart's;40;
business,;40;15
denied;40;
thought,;40;
other,;40;
proclaim;40;
wise,;40;
taught;40;
;40;
hark;40;
conduct;40;
forbid;40;
dares;40;
hardly;40;
forth.;40;
earth.;40;
antony,;40;
kingdom;40;4
rise;40;
cried;40;
hail,;40;
tongues;40;
early;40;
blows;40;6
birth,;40;
wits;40;
straight.;40;
wont;40;
arms.;40;
henry,;40;
grief,;39;
year;39;
sovereign,;39;
plead;39;
mercy,;39;
brother.;39;7
love:;39;
encounter;39;
knowing;39;
consider;39;
drown;39;
reasons;39;
have.;39;21
sees;39;
sword.;39;
gain;39;
can,;39;
says,;39;
henceforth;39;
antony.;39;
wine;39;
greet;39;
great,;39;
side,;39;
fairly;39;
liv'd;39;
crave;39;
faith.;39;
kneel;39;
right.;39;5
emperor;39;
seest;39;
study;39;
innocent;39;
sleeping;39;
gates;39;
vengeance;39;
ground,;39;
spite;39;
presently.;39;
fatal;39;
buckingham,;39;
talbot;39;
bury;38;
advise;38;
particular;38;
withal,;38;
freely;38;
love!;38;
breed;38;
thou'rt;38;
e'en;38;
lady?;38;
main;38;
finger;38;
repent;38;
render;38;
falls;38;
smell;38;
more:;38;
pair;38;
pain;38;
think'st;38;
sends;38;
fight,;38;
food;38;
trumpet;38;
affection;38;
empty;38;
drops;38;
say!;38;
dead?;38;
stuff;38;
saying;38;
beard;38;12
voice,;38;
silver;38;4
sort;38;
boy.;38;
pound;38;
conscience,;38;
glorious;38;
edward,;38;
command,;37;
finds;37;
weigh;37;
follow'd;37;
ears,;37;
anon.;37;
loved;37;
yourself.;37;
rose;37;
methought;37;
salt;37;
still.;37;
gift;37;
tedious;37;
drunk;37;
unworthy;37;
violent;37;
le;37;
alas,;37;
bind;37;
acquainted;37;
ignorant;37;
vain;37;
story;37;
all's;37;
truth.;37;
coward;37;
thyself,;37;
spake;37;
to-day,;37;
methinks,;37;1
merry,;37;
fury;37;
hateful;37;
judge;37;
giving;37;
bare;37;
is:;37;
swear,;37;
grieve;37;
would,;36;4
of,;36;
hangs;36;
buried;36;
mistress.;36;
search;36;
touch'd;36;
image;36;
fits;36;
brief;36;
spoken;36;
fail;36;
field.;36;
sake;36;
drive;36;
ride;36;
duke's;36;
chide;36;
mouth,;36;
long.;36;
slave;36;
office,;36;
matter.;36;
post;36;
further.;36;
fear'd;36;22
look!;36;
fierce;36;
foot,;36;
cæsar.;36;
twelve;36;
mad,;36;
meant;36;
cup;36;
number;36;
ship;36;
proof;36;
knight,;36;
silence;36;
lovers;36;
own,;36;
jealous;36;
envy;36;
fairest;36;3
meat;36;
seeing;36;
depart;36;1
lucius,;36;
devil,;36;
naked;36;
troy;36;
wrong.;36;
thomas;36;
paris;36;2
clarence,;36;
husband.;35;
bones;35;
court.;35;
answer,;35;
now:;35;
choice;35;
heaven!;35;
beauty,;35;
seeming;35;
lady!;35;
all:;35;
oath,;35;
dishonour;35;
jewel;35;
stronger;35;
sell;35;
runs;35;
brain;35;
ye,;35;
thus.;35;2
swords;35;
rage,;35;
enjoy;35;
turned;35;
here:;35;5
parted;35;
wake;35;
courage;35;
delight;35;
gentleman.;35;2
constant;35;
rest.;35;
never,;35;
field,;35;
wrongs;35;
hark,;35;
lo!;35;
dog,;35;
his.;35;
burning;35;
repair;35;
cursed;35;
heart!;35;
maintain;35;
challenge;35;
goodness;34;
trick;34;
dies;34;
stars;34;
first.;34;
folly;34;
commit;34;
fellow.;34;
big;34;
bond;34;
pour;34;
cure;34;
special;34;
ring,;34;
hazard;34;
ever.;34;
business.;34;
young,;34;
solemn;34;
nose;34;
fellows;34;
wants;34;
slew;34;
rather,;34;
perchance;34;
death:;34;
looks,;34;
to-morrow.;34;
else.;34;
ho,;34;
firm;34;
person,;34;
affairs;34;
renowned;34;
yond;34;
jack;34;
lips,;34;3
false,;34;
here!;34;
devise;34;
i:;34;
reason,;34;
bless'd;34;
ease;34;
brow;34;
banish;34;
nurse,;34;4
anne;34;
romeo,;34;
dauphin;34;
clarence;34;
hopes;33;
made,;33;
wears;33;
melancholy;33;1
means,;33;
fame;33;
chief;33;
horses;33;
virtue,;33;
heaven.;33;
argument;33;
creature;33;
tread;33;
well?;33;
money,;33;
joy,;33;
ran;33;
forward;33;
wondrous;33;
meaning;33;
frame;33;
us:;33;
'em,;33;
cries;33;
see.;33;
husband's;33;
vice;33;
days,;33;3
deserv'd;33;
brothers;33;
tune;33;
play'd;33;
tidings;33;
that:;33;
land.;33;
entertain;33;
jove;33;
heart:;33;
moon,;33;
rank;33;
patient;33;
had,;33;
legs;33;
despite;33;
weeping;33;22
duty,;33;
spring;33;
minds;33;
summer;33;71
anon;33;
bearing;33;
enemies;33;
when,;33;
door;33;
princes,;33;
crown.;33;
et;33;
maiden;32;
rule;32;
slow;32;
be:;32;
sickness;32;
ransom;32;73
pleasure,;32;
express;32;
cheeks;32;
wings;32;
modest;32;
proceed;32;
serves;32;
urge;32;
cheek;32;
damn'd;32;
brief,;32;
beaten;32;
patience.;32;
dispatch;32;
breast,;32;
ear.;32;
approach;32;
aid;32;
sound,;32;
looked;32;
thinking;32;
dozen;32;
comfort,;32;
woman.;32;
grave,;32;
withal;32;
hair,;32;
graces;32;
purpose,;32;
lives,;32;
bite;32;2
be?;32;
request;32;
stol'n;32;
day's;32;
sirs,;32;
kindness;32;
party;32;
countenance;32;1
envious;32;
weep,;32;
no?;32;
enemies.;32;
anon,;32;
ladies,;32;
waste;32;
faithful;32;
seen,;32;
shallow;32;
passing;32;
evil;32;
back.;32;
wrought;32;
heavens!;32;
colours;32;
father!;32;
fiend;32;
london;32;
credit;31;
stain;31;
little,;31;
accuse;31;
war.;31;
top;31;
nature's;31;
mother.;31;
amongst;31;
haply;31;8
fault,;31;
dance;31;
convey;31;
self;31;
enforce;31;
must,;31;
boys;31;
flies;31;
speak:;31;
say?;31;
country,;31;
purpose.;31;
betray;31;
done?;31;
oaths;31;
company,;31;
rotten;31;
will?;31;
paper;31;
thing.;31;
leisure;31;
perform;31;
widow;31;
amen.;31;
stays;31;
best.;31;
wish'd;31;
drew;31;
